sentence	aspect	polarity
The netbook is easier for me to take to bed and carry around with me.	laptop portability	positive
The screen takes some getting use to, because it is smaller than the laptop.	display design features	neutral
The screen takes some getting use to, because it is smaller than the laptop.	display usability	neutral
I have not have any problems.	laptop general	positive
The Notebook PC,Toshiba Qosmio is the best gift my father could have ever gotten me.	laptop general	positive
He gave me this PC about 3 years ago and up to this point im still sitting here using it.	laptop quality	positive
Its still going.	laptop quality	positive
It is in the best condition and has a really high quality.	laptop quality	positive
This is something i would deffinately reccomend to someone.	laptop general	positive
You will not regret buying such a great thing like this!	laptop general	positive
It can't get any better.	laptop general	positive
Waited on getting this computer, but it has been a great change.	laptop general	positive
Ease of use is just one of the benefits I love about my Mac.	laptop usability	positive
This laptop meets every expectation and Windows 7 is great!	laptop general	positive
This laptop meets every expectation and Windows 7 is great!	os general	positive
It's fast, it's easy easy easy to set up, easy to hook to my wireless network.	laptop connectivity	positive
It's fast, it's easy easy easy to set up, easy to hook to my wireless network.	laptop operation performance	positive
It's fast, it's easy easy easy to set up, easy to hook to my wireless network.	laptop usability	positive
It's even easy to hook up to other wireless networks.	laptop connectivity	positive
The battery doesn't last long but I'm sure an upgrade battery would solve that problem.	battery operation performance	neutral
I don't use my laptop in a way though that needs a long battery life so it's perfect for me.	battery operation performance	positive
Most everything is fine with this machine: speed, capacity, build.	hard disc design features	positive
Most everything is fine with this machine: speed, capacity, build.	laptop general	positive
Most everything is fine with this machine: speed, capacity, build.	laptop operation performance	positive
Most everything is fine with this machine: speed, capacity, build.	laptop quality	positive
The only thing I don't understand is that the resolution of the screen isn't high enough for some pages, such as Yahoo!Mail.	display quality	negative
I bought it for really cheap also and it's AMAZING.	laptop general	positive
I bought it for really cheap also and it's AMAZING.	laptop price	positive
Recommended to people as their first laptop.	laptop miscellaneous	positive
Plain and simple, it(laptop) runs great and loads fast.	laptop operation performance	positive
Easy to carry, can be taken anywhere, can be hooked up to printers,headsets.	laptop connectivity	positive
Easy to carry, can be taken anywhere, can be hooked up to printers,headsets.	laptop portability	positive
I'm already hooked on the sleek look and dependability that this laptop has shown.	laptop design features	positive
I'm already hooked on the sleek look and dependability that this laptop has shown.	laptop quality	positive
Being a PC user my whole life, it's taking a bit of time to adapt to the OS of a Mac but I'm finding my way around.	os usability	neutral
The unibody design is edgy and durable.	laptop design features	positive
The unibody design is edgy and durable.	laptop quality	positive
The LED backlit display makes my pictures pop so much more.	display design features	positive
I'm learning the finger options for the mousepad that allow for quicker browsing of web pages.	laptop usability	positive
I'm learning the finger options for the mousepad that allow for quicker browsing of web pages.	mouse design features	positive
A key contributor that led me to Mac is the art aspect.	laptop design features	positive
They have developed excellent proprietary software for editing video and pictures and I'm looking forward to utilizing these tools on the regular.	software miscellaneous	positive
I'm excited to learn more about what this powerful machine has to offer and encourage others to do the same.	laptop general	positive
I'm excited to learn more about what this powerful machine has to offer and encourage others to do the same.	laptop operation performance	positive
It's more expensive but well worth it in the long run.	laptop general	positive
It's more expensive but well worth it in the long run.	laptop price	negative
Great product, very easy to use and great graphics.	graphics general	positive
Great product, very easy to use and great graphics.	laptop general	positive
Great product, very easy to use and great graphics.	laptop usability	positive
One drawback, I wish the keys were backlit.	keyboard design features	negative
I'm glad I bought this laptop, it was worth the few ($100) extra dollars.	laptop general	positive
I'm glad I bought this laptop, it was worth the few ($100) extra dollars.	laptop price	neutral
It had most of the features and all of the power that I wanted to replace my desktop machine.	laptop design features	positive
It had most of the features and all of the power that I wanted to replace my desktop machine.	laptop operation performance	positive
I wasn't really as concerned about portability (it's a very large laptop) but it's not hard to move around or take on a trip which was a pleasant surprise.	laptop design features	neutral
I wasn't really as concerned about portability (it's a very large laptop) but it's not hard to move around or take on a trip which was a pleasant surprise.	laptop portability	positive
I'm very happy with this machine!	laptop general	positive
I love the size, keyboard, the functions.	keyboard general	positive
I love the size, keyboard, the functions.	laptop design features	positive
I love the size, keyboard, the functions.	laptop operation performance	positive
I don't really have a complaint.	laptop general	positive
It is easy to use, good quality and good price.	laptop price	positive
It is easy to use, good quality and good price.	laptop quality	positive
It is easy to use, good quality and good price.	laptop usability	positive
Perfect trifecta!	laptop general	positive
I would recommend this product.	laptop general	positive
The salesman talked us into this computer away from another we were looking at and we have had nothing but problems with software problems and just not happy with it.	laptop general	negative
The salesman talked us into this computer away from another we were looking at and we have had nothing but problems with software problems and just not happy with it.	software general	negative
This is my first Dell I heard their customer service was lacking and that they were working on improving it!	support quality	neutral
The DVD burner broke after burning 3 DVD'd during that time!	optical drives quality	negative
They sent me a replacement part and without informing me are requiring that I return it within 15 days or contact them and let them know the broken part will be returned later.	support quality	negative
If this is an improvement in Customer Service then I would hate too see what it was before!	support quality	negative
I spoke to 4 different people and was told they needed to transfer me to a 5th person!	support quality	negative
Needless to say I told them No and have a nice day and hung up!	support quality	negative
I can guarantee this will be the last Dell I will ever purchase!	company general	negative
I can guarantee this will be the last Dell I will ever purchase!	laptop general	negative
Breaking within 1 year of purchase and speaking to 4+ people to report the damaged part will be returned late!	laptop quality	negative
Breaking within 1 year of purchase and speaking to 4+ people to report the damaged part will be returned late!	support quality	negative
I do not recommend this company or their products!!!!	company general	negative
So far, a great product.	laptop general	positive
High price tag, however.	laptop price	negative
Still trying to learn how to use it.	laptop usability	neutral
it is the worst computer dell ever made.	laptop general	negative
it is hard to fix and makes it a hassle to own one.	laptop general	negative
it is hard to fix and makes it a hassle to own one.	laptop quality	negative
breaks easily.	laptop quality	negative
only good thing is the graphics quality.	graphics quality	positive
There are so many wonderful features and benefits to the new MacBook!	laptop design features	positive
There are so many wonderful features and benefits to the new MacBook!	laptop general	positive
No Viruses!	laptop quality	positive
This laptop is fast and you will literally learn all you can do with this dynamo by just watching the online tutorials.	laptop operation performance	positive
This laptop is fast and you will literally learn all you can do with this dynamo by just watching the online tutorials.	laptop usability	positive
I am loyal to Apple.	company general	positive
I am very Happy!	laptop general	positive
This just keeps having it's hard drive replaced!	hard disc quality	negative
Acer won't replace the laptop.	support quality	negative
the manufacturer's warranty only covers replacement/repair of parts.	warranty general	negative
This thing is a lemon.	laptop quality	negative
This MacBook is an outstanding product with great value.	laptop general	positive
Its ease of use and the top service from Apple- be it their phone assistance or bellying up to the genius bar- cannot be beat.	laptop usability	positive
Its ease of use and the top service from Apple- be it their phone assistance or bellying up to the genius bar- cannot be beat.	support quality	positive
Suffice it to say, my MacBook Pro keeps me going with its long battery life and blazing speed.	battery operation performance	positive
Suffice it to say, my MacBook Pro keeps me going with its long battery life and blazing speed.	laptop operation performance	positive
It does run a little warm but that is a negligible concern.	laptop quality	neutral
I have had nothing but problems since the day I took it out of the box!	laptop general	negative
I have had nothing but problems since the day I took it out of the box!	laptop quality	negative
My first problem was with the pre-loaded Norton Firewall/Security program.	software general	negative
It would not let me connect to my Wifi system where I lived.	laptop connectivity	negative
It took Toshiba tech support 4 calls and 4 different techs to correct the problem.	support quality	negative
Then just the other day, my left "mouse" button snapped!	mouse quality	negative
Being only 2 months old, I am not a happy camper!	laptop general	negative
Buyer Beware.	laptop general	negative
this one, in my opinion, might be a lemon!	laptop quality	negative
It rarely works and when it does it's incredibly slow.	laptop operation performance	negative
It rarely works and when it does it's incredibly slow.	laptop quality	negative
I have had to take it to the geek squad guys to get it fixed because it has had viruses 3 times and i have not even had it for more then 4 months!	laptop quality	negative
*IF YOU ARE LOOKING FOR A GOOD LAPTOP, THIS IS NOT IT!	laptop general	negative
Like the price and operation.	laptop operation performance	positive
Like the price and operation.	laptop price	positive
Some features arent friendly ( volume wheel, sound quality, etc.	laptop usability	negative
Some features arent friendly ( volume wheel, sound quality, etc.	multimedia devices quality	negative
Some features arent friendly ( volume wheel, sound quality, etc.	multimedia devices usability	negative
But, for the cost this is a winner.	laptop general	positive
But, for the cost this is a winner.	laptop price	positive
I absolutely love my mac!	laptop general	positive
I can't imagine my life without it anymore!	laptop general	positive
I've haven't had any major problems with the laptop except that the plastic piece that covers the usb port wires have all come off.	laptop general	positive
I've haven't had any major problems with the laptop except that the plastic piece that covers the usb port wires have all come off.	ports quality	negative
Apparently they are defective since they are not securely attached.	ports quality	negative
I can barely use any usb devices because they will not stay connected properly.	laptop connectivity	negative
I called Toshiba and they want me to be without my laptop for about two weeks while they look at the problem.	support quality	negative
I think I might rather suffer for something that is simple to fix in my opinion.	support quality	negative
I bought this laptop Was the worst Laptop I've ever bought.	laptop general	negative
I spent alot of money on this product and its been a nightmare.	laptop general	negative
I spent alot of money on this product and its been a nightmare.	laptop price	negative
And having to deal with the company has been a even worse nightmare.	support quality	negative
They sent it back with a huge crack in it and it still didn't work.	support quality	negative
And that was the fourth time ive sent it to them to get fixed.	support quality	negative
Its been a year and am still waiting to see what there going to do about my laptop.	support quality	negative
So if anyones looking to buy a computer or laptop you should stay far far away from any that have the name TOSHIBA on it...	company general	negative
I saved for this laptop for 3 months and I can tell you personally it was worth the wait.	laptop general	positive
The display on this computer is the best I've seen in a very long time, the battery life is very long and very convienent.	battery operation performance	positive
The display on this computer is the best I've seen in a very long time, the battery life is very long and very convienent.	display general	positive
A little pricey but it is well, well worth it.	laptop general	positive
A little pricey but it is well, well worth it.	laptop price	negative
It is amazing.	laptop general	positive
In the first moth of owning this computer its hardrive failed which had to be replaced.	hard disc quality	negative
After replacing the hard drive the battery stopped working (3 months of use) which was frustrating.	battery operation performance	negative
After replacing the hard drive the battery stopped working (3 months of use) which was frustrating.	battery quality	negative
Then after 4 or so months the charger stopped working so I was forced to go out and buy new hardware just to keep this computer running.	hardware quality	negative
Then after 4 or so months the charger stopped working so I was forced to go out and buy new hardware just to keep this computer running.	power supply operation performance	negative
Then after 4 or so months the charger stopped working so I was forced to go out and buy new hardware just to keep this computer running.	power supply quality	negative
A tip for people looking into this computer: DO NOT BUY IT save up a bit more money and buy a computer that will last.	laptop quality	negative
Has a 5-6 hour battery life.	battery operation performance	positive
It is easy to use and lightweight.	laptop design features	positive
It is easy to use and lightweight.	laptop usability	positive
Was very much worth the price i paid.	laptop general	positive
Was very much worth the price i paid.	laptop price	positive
This netbook went bad on me after 3 days.	laptop quality	negative
There is a blank lighted screen when I start and that is all.	display operation performance	negative
Three weeks after I bought the netbook, the screen quit working.	display operation performance	negative
Three weeks after I bought the netbook, the screen quit working.	display quality	negative
I baby my electronics so I know for a fact it was defective and not anything that I did to it.	display quality	negative
Overall I feel this netbook was poor quality, had poor performance, although it did have great battery life when it did work.	battery operation performance	positive
Overall I feel this netbook was poor quality, had poor performance, although it did have great battery life when it did work.	laptop operation performance	negative
Overall I feel this netbook was poor quality, had poor performance, although it did have great battery life when it did work.	laptop quality	negative
Took the netbook on a vacation trip and I was able to do whatever I wanted to do without lugging a much heavier laptop.	laptop design features	positive
Took the netbook on a vacation trip and I was able to do whatever I wanted to do without lugging a much heavier laptop.	laptop general	positive
Took the netbook on a vacation trip and I was able to do whatever I wanted to do without lugging a much heavier laptop.	laptop portability	positive
The So called laptop Runs to Slow and I hate it!	laptop general	negative
The So called laptop Runs to Slow and I hate it!	laptop operation performance	negative
Do not? buy it!	laptop general	negative
It is the worst laptop ever	laptop general	negative
The image is great, and the soud is excelent.	display quality	positive
The image is great, and the soud is excelent.	multimedia devices quality	positive
i love ths notebook.	laptop general	positive
I love the glass touchpad.	mouse design features	positive
Easy learning curve.	laptop usability	positive
Also the display is exceptional!	display general	positive
I have loved this since i took it out of the box.	laptop general	positive
The battery is really long.	battery operation performance	positive
the features are great, the only thing it needs is better speakers.	laptop design features	positive
the features are great, the only thing it needs is better speakers.	multimedia devices general	negative
Small and light weight.	laptop design features	positive
Speakers too small to be of any real use.	multimedia devices design features	negative
Speakers too small to be of any real use.	multimedia devices usability	negative
Keyboard good sized and wasy to use.	keyboard design features	positive
Keyboard good sized and wasy to use.	keyboard usability	positive
I like it!	laptop general	positive
Meets my needs perfectly and is light enough for this senior to carry without affecting my arthritis.	laptop design features	positive
Meets my needs perfectly and is light enough for this senior to carry without affecting my arthritis.	laptop general	positive
Meets my needs perfectly and is light enough for this senior to carry without affecting my arthritis.	laptop portability	positive
Needless to say, not to happy with the product.	laptop general	negative
This is a great machine!	laptop general	positive
The design is awesome, quality is unprecedented.	laptop design features	positive
The design is awesome, quality is unprecedented.	laptop quality	positive
Apparently well-built and gorgeous to look at, the i5 MacBook Pro is a winning combination of price and performance.	laptop design features	positive
Apparently well-built and gorgeous to look at, the i5 MacBook Pro is a winning combination of price and performance.	laptop operation performance	positive
Apparently well-built and gorgeous to look at, the i5 MacBook Pro is a winning combination of price and performance.	laptop price	positive
Apparently well-built and gorgeous to look at, the i5 MacBook Pro is a winning combination of price and performance.	laptop quality	positive
It is by far one of the greatest investments I have ever made.	laptop general	positive
Am very glad I bought it, great netbook, low price.	laptop general	positive
Am very glad I bought it, great netbook, low price.	laptop price	positive
Very good quality and well made.	laptop quality	positive
Great pick for portability and affordability.	laptop portability	positive
Great pick for portability and affordability.	laptop price	positive
The black model also has a very nice seamless appearance - one of the better looking notebooks I've seen.	laptop design features	positive
The only problem is a lack of screen resolutions!	display quality	negative
If you need an affordable, entry-level laptop, this will fit the bill.	laptop miscellaneous	positive
If you need an affordable, entry-level laptop, this will fit the bill.	laptop price	positive
I dislike the weight and size, cubersome.	laptop design features	negative
I dislike the weight and size, cubersome.	laptop portability	negative
I dislike the quality and the placement of the speakers.	multimedia devices design features	negative
I dislike the quality and the placement of the speakers.	multimedia devices quality	negative
Overall, it's ok.	laptop general	neutral
Laptop is advertised as a 15" but the casing looks like that of a 17".	laptop design features	negative
This laptop is very large and barely fits in any carrying cases.	laptop design features	negative
This laptop is very large and barely fits in any carrying cases.	laptop portability	negative
Peformance is good for the price.	laptop operation performance	positive
Peformance is good for the price.	laptop price	neutral
If you're not wanting to be mobile, this is a good laptop to sit on a desk.	laptop general	positive
If you're not wanting to be mobile, this is a good laptop to sit on a desk.	laptop portability	negative
Had to have this computer repaired twice in the first 5 months after purchasing it.	laptop quality	negative
Not good for a person who gets online daily.	laptop miscellaneous	negative
May be better for the occasional web surfer.	laptop miscellaneous	neutral
I just got this laptop for college, and so far I am very happy with it.	laptop general	positive
It is so much easier to use	laptop usability	positive
Good keyboard, long battery life, largest hard drive and windows 7.	battery operation performance	positive
Good keyboard, long battery life, largest hard drive and windows 7.	hard disc design features	positive
Good keyboard, long battery life, largest hard drive and windows 7.	keyboard general	positive
Good keyboard, long battery life, largest hard drive and windows 7.	os general	neutral
And Toshiba is a quality supplier.	support quality	positive
I love this little one.	laptop general	positive
The keyboard has a wonderful nature feel.	keyboard quality	positive
great battery life.	battery operation performance	positive
Keyboard is reasonable size.	keyboard design features	positive
Small screen somewhat limiting but great for travel.	display design features	negative
Small screen somewhat limiting but great for travel.	laptop portability	positive
Charger seems large for this class of computer.	power supply design features	negative
Great Laptop for the price, works well with action pack games.	laptop general	positive
Great Laptop for the price, works well with action pack games.	laptop miscellaneous	positive
Great Laptop for the price, works well with action pack games.	laptop price	neutral
The only thing that I have, is the key broad is a little dark to see the letters, would help if it was a little lighter then it is.	keyboard design features	negative
The only thing that I have, is the key broad is a little dark to see the letters, would help if it was a little lighter then it is.	keyboard usability	negative
but other then that I would give this product a 4 in hafe stars.	laptop general	positive
Good for every day computing and web browsing.	laptop miscellaneous	positive
A great computer for light home use and business use.	laptop miscellaneous	positive
Might not make the avid gamer happy but I don't really think that is what this computer is designed for.	laptop miscellaneous	neutral
Crisp screen, great battery life, and plenty of storage.	battery operation performance	positive
Crisp screen, great battery life, and plenty of storage.	display quality	positive
Crisp screen, great battery life, and plenty of storage.	hard disc design features	positive
Very happy.	laptop general	positive
He loves it and it is easy to use and well the schools start teaching the kids early about computers so it was easy for him to get started.	laptop general	positive
He loves it and it is easy to use and well the schools start teaching the kids early about computers so it was easy for him to get started.	laptop usability	positive
I would recomend this acer to parents and grandparents it can really help them in school.	laptop miscellaneous	positive
MY ONLY PROBLEM IS I CAN NOT REG. THE PRODUCT KEY.	laptop miscellaneous	negative
IT WANT TAKE IT, IT KEEP SAYING ERROR.	laptop miscellaneous	negative
HELP, HELP, OTHER THAN THAT GETS A GREAT LITTLE WONDER.	laptop general	positive
It's fast and has excellent battery life.	battery operation performance	positive
It's fast and has excellent battery life.	laptop operation performance	positive
The screen shows great colors.	display quality	positive
I was surprised with the performance and quality of this HP Laptop.	laptop operation performance	positive
I was surprised with the performance and quality of this HP Laptop.	laptop quality	positive
the speed is fine.	laptop operation performance	positive
But with A WAY Bigger Screen, and IS able to connect to an HDMI.	display design features	positive
But with A WAY Bigger Screen, and IS able to connect to an HDMI.	laptop connectivity	positive
Love it.	laptop general	positive
I would recommend this computer to anyone searching for the perfect laptop, and the battery life is amazing.	battery operation performance	positive
I would recommend this computer to anyone searching for the perfect laptop, and the battery life is amazing.	laptop general	positive
I BOUGHT THIS LAP TOP AND THE CHARGE TIME DOSEN'T LAST AS LONG AS THEY SAY IT WILL MORE LIKE 2 HOURS	battery operation performance	negative
This computer is the ideal college companion.	laptop miscellaneous	positive
It's software and speed enable it to do amazing things.	laptop operation performance	positive
It's software and speed enable it to do amazing things.	software general	positive
I am not happy at all with the product I purchased.	laptop general	negative
A cheaper price should not equal a "cheap" product.	laptop price	neutral
A cheaper price should not equal a "cheap" product.	laptop quality	negative
It was over rated!	laptop general	negative
The Toshiba laptop was a great purchase.	laptop general	positive
The price was very good, and the product is top quality.	laptop price	positive
The price was very good, and the product is top quality.	laptop quality	positive
The delivery was fast, and I would not hesitate to purchase this laptop again.	laptop general	positive
The delivery was fast, and I would not hesitate to purchase this laptop again.	shipping quality	positive
It has easy to use features and all the speed and power I could ask for.	laptop operation performance	positive
It has easy to use features and all the speed and power I could ask for.	laptop usability	positive
True quality at a great price!	laptop price	positive
True quality at a great price!	laptop quality	positive
I am enjoying it and the quality it provides is great!	laptop general	positive
I am enjoying it and the quality it provides is great!	laptop quality	positive
Toshiba is a great brand, even though I haven't had it for a long time, I am very happy with it!	company general	positive
Toshiba is a great brand, even though I haven't had it for a long time, I am very happy with it!	laptop general	positive
The screen graphics and clarity, and sharpness are great.	display quality	positive
I've already recommended this laptop to a friend who eye'd the computer when I took it out of my bag.	laptop general	positive
I like the laptop overall.	laptop general	positive
The only thing i can say is that the touch pad doesnt work like it should all the time.	mouse operation performance	negative
Sometimes you really have to tap the pad to get it to work	mouse operation performance	negative
Sometimes you really have to tap the pad to get it to work	mouse usability	negative
This is a great little computer for the price.	laptop general	positive
This is a great little computer for the price.	laptop price	neutral
Simple to use, and great graphics.	graphics general	positive
Simple to use, and great graphics.	laptop usability	positive
It has everything I would need for a home computer.	laptop miscellaneous	positive
I'm very impressed.	laptop general	positive
It was secure and easy to navigate.	laptop quality	positive
It was secure and easy to navigate.	laptop usability	positive
It is everything that I would want in a computer.	laptop general	positive
Besides the great look, it is a great machine.	laptop design features	positive
Besides the great look, it is a great machine.	laptop general	positive
Once again apple stands alone at the top of the charts.	company general	positive
I enjoy very much my new Toshiba, purchased specifially for attending online schooling.	laptop general	positive
I have found it very easy to use, very imformative, wonder alerts and tutorials making it very easy for someone like me who is not exactly technologically advanced to learn to use the various features and programs.	laptop usability	positive
I have found also, it is very easy to be able to access wireless internet access; without having to have extra equipment and/or complicated routes to take to be able to do so.	laptop connectivity	positive
I also love the small, convenient size of my laptop, making it a perfect tool for my academic studies.	laptop design features	positive
I also love the small, convenient size of my laptop, making it a perfect tool for my academic studies.	laptop miscellaneous	positive
I also love the small, convenient size of my laptop, making it a perfect tool for my academic studies.	laptop usability	positive
I am very pleased with my purchase!	laptop general	positive
This laptop serves all my needs.	laptop general	positive
Screen size is perfect for portable use in any environment.	display design features	positive
Screen size is perfect for portable use in any environment.	laptop portability	positive
Price and purpose is awesome!	laptop miscellaneous	positive
Price and purpose is awesome!	laptop price	positive
I have been very pleased with the performance of this laptop.	laptop operation performance	positive
The battery life seems to be very good, and have had no issues with it.	battery operation performance	positive
Great product.	laptop general	positive
The laptop was very easy to set up.	laptop usability	positive
Everything was so easy.	laptop usability	positive
They were able to set-up with labtops themselves within a few minutes.	laptop usability	positive
It works fine with our wireless and they've had not problems.	laptop connectivity	positive
It works fine with our wireless and they've had not problems.	laptop general	positive
It's a great product for a great price!	laptop general	positive
It's a great product for a great price!	laptop price	positive
Waited on getting this computer, but it has been a great change.	laptop general	positive
Ease of use is just one of the benefits I love about my Mac.	laptop usability	positive
The service I received from Toshiba went above and beyond the call of duty.	support quality	positive
My friend reports the notebook is astonishing in performance, picture quality, and ease of use.	display quality	positive
My friend reports the notebook is astonishing in performance, picture quality, and ease of use.	laptop operation performance	positive
My friend reports the notebook is astonishing in performance, picture quality, and ease of use.	laptop usability	positive
It is extremely portable and easily connects to WIFI at the library and elsewhere.	laptop connectivity	positive
It is extremely portable and easily connects to WIFI at the library and elsewhere.	laptop portability	positive
Just what the doctor ordered.	laptop general	positive
I cannot be happier with the service or product.	laptop general	positive
I cannot be happier with the service or product.	support general	positive
power supply went bad after 2 weeks --	power supply quality	negative
after much effort and 10 days ASUS replaced it	support quality	negative
The WiFi is very weak.	laptop connectivity	negative
Summary: Spend your money elsewhere	laptop general	negative
This is a nicely sized laptop with lots of processing power and long battery life.	battery operation performance	positive
This is a nicely sized laptop with lots of processing power and long battery life.	cpu operation performance	positive
This is a nicely sized laptop with lots of processing power and long battery life.	laptop design features	positive
Love it so far.	laptop general	positive
The Toshiba Net book operates very well.	laptop operation performance	positive
The only objection I have is that after you buy it the windows 7 system is a starter and charges for the upgrade.	os miscellaneous	negative
I bought this netbook for traveling, and it's great - light, functional, and meets my needs.	laptop design features	positive
I bought this netbook for traveling, and it's great - light, functional, and meets my needs.	laptop general	positive
I bought this netbook for traveling, and it's great - light, functional, and meets my needs.	laptop operation performance	positive
I bought this netbook for traveling, and it's great - light, functional, and meets my needs.	laptop portability	positive
The touchpad is extremely sensitive, which is the only drawback.	laptop general	positive
The touchpad is extremely sensitive, which is the only drawback.	mouse operation performance	negative
Otherwise, I love it!	laptop general	positive
I wasn't really sure I wanted to spend that kind of money!	laptop price	negative
It Was a great deal after all.	laptop general	positive
It Was a great deal after all.	laptop price	positive
I LOVE it!	laptop general	positive
I should have bought one a long time ago.	laptop general	positive
Not enough time for me to give it 5 stars!	laptop general	neutral
I've had the MacBook Pro 15 for about three weeks, and it really is a great computer.	laptop general	positive
I have only had PCs with Windows before so this takes a little getting use to.	os usability	neutral
The real stand out on this computer is the feel of the keyboard and it's speed.	keyboard quality	positive
The real stand out on this computer is the feel of the keyboard and it's speed.	laptop operation performance	positive
It is fast booting up , shutting down, and connection with the internet.	laptop connectivity	positive
It is fast booting up , shutting down, and connection with the internet.	laptop operation performance	positive
The one thing I wish it had was a detailed hardcopy manuel.	laptop miscellaneous	negative
I think the manual is somewhere on the hard drive, but I rather have a hard copy.	laptop miscellaneous	neutral
If what you need is a machine to do some surfing, email checking, word processing, and watching a movie or two, this is the machine you want.	laptop miscellaneous	positive
It's priced very reasonable and works very well right out of the box.	laptop operation performance	positive
It's priced very reasonable and works very well right out of the box.	laptop price	positive
Nice and portable and definitely a decent enough system to keep you entertained while sitting in the airplane for a couple of hours, or at the hotel taking care of some last minute details and documents.	laptop general	positive
Nice and portable and definitely a decent enough system to keep you entertained while sitting in the airplane for a couple of hours, or at the hotel taking care of some last minute details and documents.	laptop miscellaneous	positive
Nice and portable and definitely a decent enough system to keep you entertained while sitting in the airplane for a couple of hours, or at the hotel taking care of some last minute details and documents.	laptop portability	positive
the screen/video resolution won't increase to a higher resolution then 1024 x 60	display quality	negative
That being said, it still runs video in full screen decently.	display operation performance	neutral
The sound is a bit quiet if you're on a plane, this can easily be overcome with a decent pair of head phones.	multimedia devices quality	neutral
Bottom line, I doubt you'd be overly disappointed if you invest in this machine.	laptop general	positive
Yes, I thought the expese was a little much, but I now realize you get what you pay for.	laptop general	positive
Yes, I thought the expese was a little much, but I now realize you get what you pay for.	laptop price	negative
I love my Apple, it is quick and easy to use.	laptop general	positive
I love my Apple, it is quick and easy to use.	laptop operation performance	positive
I love my Apple, it is quick and easy to use.	laptop usability	positive
I've had to call Apple support to set up my new printer and have had wonderful experiences with helpful, english speaking (from Vancouver) techs that walked me through the processes to help me.	support quality	positive
I can't say enough of how satisfied I am with their product and help aftermarket.	laptop general	positive
I can't say enough of how satisfied I am with their product and help aftermarket.	support quality	positive
Money and time well spent!	laptop general	positive
Money and time well spent!	laptop price	positive
Highly recommended!	laptop general	positive
The 13" Macbook Pro just fits in my budget and with free shipping and no tax to CA this is the best price we can get for a great product.	laptop general	positive
The 13" Macbook Pro just fits in my budget and with free shipping and no tax to CA this is the best price we can get for a great product.	laptop price	positive
The 13" Macbook Pro just fits in my budget and with free shipping and no tax to CA this is the best price we can get for a great product.	shipping price	positive
The Macbook arrived in a nice twin packing and sealed in the box, all the functions works great.	laptop miscellaneous	positive
The Macbook arrived in a nice twin packing and sealed in the box, all the functions works great.	laptop operation performance	positive
Speakers doesn't sound that great.	multimedia devices quality	negative
Love the speed, especially!	laptop operation performance	positive
So glad I decided to upgrade!	laptop general	positive
