sentence	aspect	polarity
I like the somosas, chai, and the chole, but the dhosas and dhal were kinda dissapointing.	food quality	negative
The service varys from day to day- sometimes they're very nice, and sometimes not.	service general	negative
The kitchen however, is almost always slow.	service general	negative
Also, specify if you like your food spicy- its rather bland if you don't.	food quality	negative
The ambience is pretty and nice for conversation, so a casual lunch here would probably be best.	ambience general	positive
The ambience is pretty and nice for conversation, so a casual lunch here would probably be best.	restaurant miscellaneous	positive
If you've ever been along the river in Weehawken you have an idea of the top of view the chart house has to offer.	location general	positive
Add to that great service and great food at a reasonable price and you have yourself the beginning of a great evening.	food prices	positive
Add to that great service and great food at a reasonable price and you have yourself the beginning of a great evening.	food quality	positive
Add to that great service and great food at a reasonable price and you have yourself the beginning of a great evening.	service general	positive
The lava cake dessert was incredible and I recommend it.	food quality	positive
Once you step into Cosette, you're miraculously in a small, off-the-beaten path Parisian bistro.	ambience general	positive
This tiny restaurant is as cozy as it gets, with that certain Parisian flair.	ambience general	positive
The food was average to above-average; the French Onion soup filling yet not overly impressive, and the desserts not brilliant in any way.	food quality	negative
The food was average to above-average; the French Onion soup filling yet not overly impressive, and the desserts not brilliant in any way.	food style options	positive
However, go for the ambience, and consider the food just a companion for a trip across the world!	ambience general	positive
However, go for the ambience, and consider the food just a companion for a trip across the world!	food quality	neutral
IT WAS HORRIBLE.	restaurant general	negative
The pizza was delivered cold and the cheese wasn't even fully melted!	food quality	negative
It looked like shredded cheese partly done - still in strips.	food quality	negative
This has got to be one of the most overrated restaurants in Brooklyn.	restaurant general	negative
The pizza is overpriced and soggy.	food prices	negative
The pizza is overpriced and soggy.	food quality	negative
Yes, they use fancy ingredients, but even fancy ingredients don't make for good pizza unless someone knows how to get the crust right.	food quality	negative
A big disappointment, all around.	restaurant general	negative
I think I've had some the best meals of my life at minnow.	food quality	positive
The seafood is amazing, there's a good wine list, and the ever-changing menu always offers some great surprises.	drinks style options	positive
The seafood is amazing, there's a good wine list, and the ever-changing menu always offers some great surprises.	food quality	positive
The seafood is amazing, there's a good wine list, and the ever-changing menu always offers some great surprises.	food style options	positive
The combination of super-fresh ingredients in the dishes are unusual but really delicious.	food quality	positive
Worth the trip from Manhattan.	restaurant general	positive
Best Pastrami I ever had and great portion without being ridiculous.	food quality	positive
Best Pastrami I ever had and great portion without being ridiculous.	food style options	positive
My wife had the fried shrimp which are huge and loved it.	food quality	positive
My wife had the fried shrimp which are huge and loved it.	food style options	positive
As a Japanese native, I've lived in the Tristate area for over 8 years, but I was just so amazed at this place.	restaurant general	positive
This place is the most Japanese it can ever get.	restaurant miscellaneous	positive
The signs, the specials menus, food, and even all the waitstaff are ALL TOTALLY Japanese.	food quality	positive
The signs, the specials menus, food, and even all the waitstaff are ALL TOTALLY Japanese.	food style options	positive
The signs, the specials menus, food, and even all the waitstaff are ALL TOTALLY Japanese.	restaurant miscellaneous	positive
The signs, the specials menus, food, and even all the waitstaff are ALL TOTALLY Japanese.	service general	positive
This place is worth an one-hour drive.	restaurant general	positive
I am so coming back here again, as much as I can.	restaurant general	positive
Leon is an East Village gem: casual but hip, with well prepared basic French bistro fare, good specials, a warm and lively atmosphere.	ambience general	positive
Leon is an East Village gem: casual but hip, with well prepared basic French bistro fare, good specials, a warm and lively atmosphere.	food quality	positive
Leon is an East Village gem: casual but hip, with well prepared basic French bistro fare, good specials, a warm and lively atmosphere.	restaurant general	positive
My wife and I always enjoy the young, not always well trained but nevertheless friendly, staff, all of whom have a story.	service general	positive
Decent wine at reasonable prices.	drinks prices	positive
Decent wine at reasonable prices.	drinks quality	neutral
Have been dozens of times and never failed to enjoy the experience.	restaurant general	positive
Our teenage kids love it, too.	restaurant general	positive
Everytime I decide to try another place on the UES, I get angry that I didn't just go to Zucchero Pomodori.	restaurant general	positive
This is by far my favorite place in the neighborhood.	restaurant general	positive
The service is excellent, the decor is great, and the food is delicious and comes in large portions.	ambience general	positive
The service is excellent, the decor is great, and the food is delicious and comes in large portions.	food quality	positive
The service is excellent, the decor is great, and the food is delicious and comes in large portions.	food style options	positive
The service is excellent, the decor is great, and the food is delicious and comes in large portions.	service general	positive
I'm partial to the Gnocchi.	restaurant general	positive
This place is incredibly tiny.	ambience general	negative
They refuse to seat parties of 3 or more on weekends.	service general	negative
The hostess is rude to the point of being offensive.	service general	negative
The food was bland oily.	food quality	negative
I just don't understand all the hype...	restaurant general	negative
We have been to this place many times, and always have great food, wine, and service.	drinks quality	positive
We have been to this place many times, and always have great food, wine, and service.	food quality	positive
We have been to this place many times, and always have great food, wine, and service.	service general	positive
We were worried we would have trouble getting in, but somehow managed to have a short wait.	service general	positive
As always we had a great glass of wine while we waited.	drinks quality	positive
When we sat, we got great and fast service.	service general	positive
The people that work there are always so friendly you forget you are in New York sometimes.	service general	positive
Make sure you try this place as often as you can.	restaurant general	positive
This is a fun restaurant to go to.	restaurant general	positive
The pizza is yummy and I like the atmoshpere.	ambience general	positive
The pizza is yummy and I like the atmoshpere.	food quality	positive
But the pizza is way to expensive.	food prices	negative
I went there for lunch and it was not as good as I expected from the reviews I read.	food quality	negative
Sauce was watery and the food didn't have much flavor.	food quality	negative
I don't think I would go again.	restaurant general	negative
This place is great.	restaurant general	positive
I had a huge group for my birthday and we were well taken care of.	service general	positive
The waitress was very patient with us and the food is phenomenal!	food quality	positive
The waitress was very patient with us and the food is phenomenal!	service general	positive
Service was prompt, friendly and great.	service general	positive
Slightly on the pricey side but worth it!	restaurant general	positive
Slightly on the pricey side but worth it!	restaurant prices	negative
Great pizza and fantastic service.	food quality	positive
Great pizza and fantastic service.	service general	positive
There was a small wait, but shorter than I expected.	service general	positive
Located at the end of a magnificent block.	location general	positive
Very cozy and warm inside.....	ambience general	positive
I will be back!	restaurant general	positive
This is the best sushi in new york city - hands down.	food quality	positive
The place is small and cramped but the food is fantastic.	ambience general	negative
The place is small and cramped but the food is fantastic.	food quality	positive
Get the tuna of gari.	food quality	positive
Planet Thailand has always been a hit with me , I go there usually for the sushi, which is great , the thai food is excellent too .	food quality	positive
Planet Thailand has always been a hit with me , I go there usually for the sushi, which is great , the thai food is excellent too .	restaurant general	positive
With the great variety on the menu , I eat here often and never get bored .	food style options	positive
The atmosphere isn't the greatest , but I suppose that's how they keep the prices down .	ambience general	negative
The atmosphere isn't the greatest , but I suppose that's how they keep the prices down .	restaurant prices	positive
It's all about the food !!	food quality	positive
first it took us a long time to find the place.	restaurant miscellaneous	negative
but when we looked at the menu, there weren't a lot of choices, most of them were dumplings in the appetizer section.	food style options	negative
those rolls were big, but not good and sashimi wasn't fresh.	food quality	negative
those rolls were big, but not good and sashimi wasn't fresh.	food style options	neutral
they were dry and disgusting, i didn't even finish my first piece.	food quality	negative
Hurley's is like Cheers where everyone knows your name and they are ACTUALLY glad you came.	service general	positive
Try the crunchy tuna, it is to die for.	food quality	positive
Try everything for that matter, it is all good.	food quality	positive
I have been going there since it opened and I can't get enough.	restaurant general	positive
First went here to enjoy their garden terrace.	ambience general	positive
The food was amazing, and the service was prompt and helpful, but not over-bearing or rushed.	food quality	positive
The food was amazing, and the service was prompt and helpful, but not over-bearing or rushed.	service general	positive
The Steak Tartare is a great bet, they fix it for you at the table.	food style options	positive
Admittedly some nights inside the restaurant were rather warm, but the open kitchen is part of the charm.	ambience general	negative
Great wine selection, Gigondas is worth the price, and the house champagne is a great value.	drinks prices	positive
Great wine selection, Gigondas is worth the price, and the house champagne is a great value.	drinks quality	positive
Great wine selection, Gigondas is worth the price, and the house champagne is a great value.	drinks style options	positive
It may be a bit packed on weekends, but the vibe is good and it is the best French food you will find in the area.	ambience general	positive
It may be a bit packed on weekends, but the vibe is good and it is the best French food you will find in the area.	food quality	positive
Have recommended the place to friends, always gets good response.	restaurant miscellaneous	positive
Pizza - the only pizza in NYC that should not have additional toppings - the crust tastes like the best, freshly baked bread!	food quality	positive
I take all my NYC guests to VT's.	restaurant miscellaneous	positive
Not sure where the previous reviewer, lonk, dined, but Saul is in a great neighborhood and has great food!	food quality	positive
Not sure where the previous reviewer, lonk, dined, but Saul is in a great neighborhood and has great food!	location general	positive
I've been there three times and have always had wonderful experiences.	restaurant general	positive
I'd highly recommend it for a special occasion -- it provides and intimate setting and nice service.	ambience general	positive
I'd highly recommend it for a special occasion -- it provides and intimate setting and nice service.	restaurant miscellaneous	positive
I'd highly recommend it for a special occasion -- it provides and intimate setting and nice service.	service general	positive
I'm not sure where the other reviewers ate but it seems as if we visited two different restaurants because my friends and I all enjoy Mizu very much... and we're repeat customers.	restaurant general	positive
Even after they overcharged me the last time I was there.	service general	negative
Make sure you have the Spicy Scallop roll.. .	food quality	positive
it's delicious!	food quality	positive
Moules were excellent, lobster ravioli was VERY salty!	food quality	negative
Took my mom for Mother's Day, and the maitre d' was pretty rude.	service general	negative
Told us to sit anywhere, and when we sat he said the table was reserved.	service general	negative
Stepped on my foot on the SECOND time he reached over me to adjust lighting.	service general	negative
Tiny dessert was $8.00...just plain overpriced for what it is.	food prices	negative
Tiny dessert was $8.00...just plain overpriced for what it is.	food quality	negative
Tiny dessert was $8.00...just plain overpriced for what it is.	food style options	negative
The drinks are always welll made and wine selection is fairly priced.	drinks prices	positive
The drinks are always welll made and wine selection is fairly priced.	drinks quality	positive
Try their chef's specials-- they are to die for.	food quality	positive
Service is not exactly five star, but thats not really a big deal.	service general	neutral
Downstairs lounge is always a good attraction	ambience general	positive
Raga's is a romantic, cozy restaurant.	ambience general	positive
The exotic food is beautifully presented and is a delight in delicious combinations.	food quality	positive
The exotic food is beautifully presented and is a delight in delicious combinations.	food style options	positive
It is also extremely well priced.	food prices	positive
The staff is incredibly helpful and attentive.	service general	positive
The bar is very well stocked with interesting beers and well priced wines.	drinks prices	positive
The bar is very well stocked with interesting beers and well priced wines.	drinks style options	positive
This is one of my favorite restaurants and it is not to be missed.	restaurant general	positive
Your friends will thank you for introducing them to this gem!	restaurant general	positive
When we stumbled on Leon, we thought that we had found quite the gem BUT, we were certainly wrong.	restaurant general	negative
The waitress moved our table practically into the bathroom and when we asked to cancel our dinner orders because we did not want to eat sitting on the toilet, we were told no...	service general	negative
Then, to top things off, she dropped used silverware on my boyfriend's jacket and did not stop to apologize or clean the mess that was left on clothes. 	service general	negative
Such a disappointment...	service general	negative
Rude service, medicore food...there are tons of restaurants in NY...stay away from this one	food quality	neutral
Rude service, medicore food...there are tons of restaurants in NY...stay away from this one	restaurant general	negative
Rude service, medicore food...there are tons of restaurants in NY...stay away from this one	service general	negative
I had a grat time at Jekyll and Hyde!	restaurant general	positive
I loved everythig about it-especially the shows and actors.	ambience general	positive
I loved everythig about it-especially the shows and actors.	restaurant general	positive
Our server was very helpful and friendly.	service general	positive
I am bringing my whole family back next time.	restaurant miscellaneous	positive
The food was good too.	food quality	positive
The tuna and wasabe potatoes are excellent.	food quality	positive
The outdoor atmosphere of sitting on the sidewalk watching the world go by 50 feet away on 6th avenue on a cool evening was wonderful.	location general	positive
Inside is a little cramped, but to be expected.	ambience general	neutral
Service was prompt and courteous.	service general	positive
This was a repeat visit and we'll definitely be back again.	restaurant general	positive
Great service, great food.	food quality	positive
Great service, great food.	service general	positive
Prices are in line.	restaurant prices	neutral
But too far east!	location general	negative
The pizza is delicious - they use fresh mozzarella instead of the cheap, frozen, shredded cheese common to most pizzaria's.	food quality	positive
Two complaints- their appetizer selection stinks, it would be nice to get some mozzarella sticks on the menu.	food style options	negative
Also, because it is so thin, it gets cold very quickly and its not that filling.	food quality	negative
Also, because it is so thin, it gets cold very quickly and its not that filling.	food style options	negative
Wait staff is blantently unappreciative of your business but its the best pie on the UWS!	food quality	positive
Wait staff is blantently unappreciative of your business but its the best pie on the UWS!	service general	negative
By far the best salad I have had in a fast food restaurant.	food quality	positive
fine dining restaurant quality.	food quality	positive
Over 100 different choices to create your own.	food style options	positive
A must try!	restaurant general	positive
On a recent Sunday afternoon, a friend and I accidently found this great restaurant on our way to see the pulitzer prize winning play DOUBT.	restaurant general	positive
This was the perfect quiet, relaxing, and delicious accompaniment to our afternoon of theater.	ambience general	positive
This was the perfect quiet, relaxing, and delicious accompaniment to our afternoon of theater.	food quality	positive
The chicken pot pie is excpetiona, the cheeseburger huge and delictable, and the service professional wan warm.	food quality	positive
The chicken pot pie is excpetiona, the cheeseburger huge and delictable, and the service professional wan warm.	food style options	positive
The chicken pot pie is excpetiona, the cheeseburger huge and delictable, and the service professional wan warm.	service general	positive
With so many poor experiences to be had in the theater district, is truly an excellent find!	restaurant general	positive
We will return many times for this oasis in mid-town.	restaurant general	positive
The staff is no nonsense.	service general	positive
The food options rule.	food style options	positive
When I lived upstate for a while I would buy freeze the bagels and they would still be better than any else.	food quality	positive
Worth visiting the 1st Ave spot because it is the original store.	restaurant miscellaneous	positive
He served me an Uni Hand roll, which I never had before, and let me tell you...IT WAS HEAVEN!	food quality	positive
The sake menu should not be overlooked!	drinks style options	positive
All in all, this midtown gem instantly became one of my favorite sushi restaurants in the city.	restaurant general	positive
Try the lobster teriyaki and the rose special roll.	food quality	positive
Service was very good - prompt, attentive and non-intrusive.	service general	positive
Food was very good as well, considering that we tried the budget selection (though I wish the pork belly that I ordered was roasted a bit longer, so that fat was more of a melt-in-your-mouth experience).	food quality	negative
Wine list selection is good and wine-by-the-glass was generously filled to the top.	drinks style options	positive
Traditional French decour was pleasant though the hall was rather noisy - the restaurant was full and we had to raise our voices to be able to maintain a conversation.	ambience general	negative
I've been to at Cafe Spice probably 5-8 times, it is probably still the best Indian restaurant around Union Square.	restaurant general	positive
To sum it up: Service varies from good to mediorce, depending on which waiter you get; generally it is just average Ok. 	service general	neutral
Seating is always prompt, though the restaurant does fill up in the evening.	service general	positive
Food is usually very good, though ocasionally I wondered about freshmess of raw vegatables in side orders.	food quality	negative
As many other reviewers noticed, your order is often slow to arrive - this is particularly true in the evening but is not a problem during lunch time.	service general	neutral
The decor is vibrant and eye-pleasing with several semi-private boths on the right side of the dining hall, which are great for a date.	ambience general	positive
I have NEVER been disappointed in the Red Eye.	restaurant general	positive
The first time I went, and was completely taken by the live jazz band and atmosphere, I ordered the Lobster Cobb Salad.	ambience general	positive
It's simply the best meal in NYC.	food quality	positive
You cannot go wrong at the Red Eye Grill.	restaurant general	positive
If we were to move from the upper east side, we would genuinely miss this restaurant.	restaurant general	positive
The restaurant is cute but not upscale.	restaurant general	neutral
The food is a diamond in rough -- the food is delicious and homemade with the perfect balance of herbs and tomatoes.	food quality	positive
I would highly recommend it.	restaurant general	positive
It's one of our favorite places to eat in NY.	restaurant general	positive
We had a great time at the Jekyll and hyde Pub last night.	restaurant general	positive
After really enjoying ourselves at the bar we sat down at a table and had dinner.	restaurant miscellaneous	positive
The server was really cool and served us our food and drinks with a smile.	service general	positive
The place's decor and hidden bathrooms made for a good laugh.	ambience general	positive
I highly recommend visiting this restaurant and having dinner and drinks!	restaurant general	positive
If you are the type of person who likes being scared and entertained, this is a great place to go and eat.	restaurant miscellaneous	positive
My husband and I thougt it would be great to go to the Jekyll and Hyde Pub for our anniversary, and to our surprise it was fantastic.	restaurant general	positive
The have over 100 different beers to offer thier guest so that made my husband very happy and the food was delicious, if I must recommend a dish it must be the pumkin tortelini.	drinks style options	positive
The have over 100 different beers to offer thier guest so that made my husband very happy and the food was delicious, if I must recommend a dish it must be the pumkin tortelini.	food quality	positive
The entertainment was great they have shows that go on through out the dinner.	ambience general	positive
Please take my advice, go and try this place.	restaurant general	positive
You will not be disapointed at all.	restaurant general	positive
We were not dissappointed in the least bit by this little gem.	restaurant general	positive
The bagel was huge.	food style options	positive
They were served warm and had a soft fluffy interior.	food quality	positive
The workers there also absolutely load the bagel with cream cheese (gets a little messy).	food style options	negative
I loved it and would HIGHLY RECOMMEND.	restaurant general	positive
This was my frist time at Cafe St. Bart's and I must say how delicous the food and the service was.	food quality	positive
This was my frist time at Cafe St. Bart's and I must say how delicous the food and the service was.	service general	positive
I have to highly recommend the lobster roll - not to much mayo; you can tell it was a fresh lobster.	food quality	positive
Other guests enjoyed pizza, santa fe chopped salad and fish and chips.	food quality	positive
I highly recommend Cafe St. Bart's for their food, the ambience and wonderful service.	ambience general	positive
I highly recommend Cafe St. Bart's for their food, the ambience and wonderful service.	food quality	positive
I highly recommend Cafe St. Bart's for their food, the ambience and wonderful service.	service general	positive
All the staff is absolutely professional!! 	service general	positive
(that is A MUST, but not every restaurant can do...) 	service general	positive
There's nice and quiet, small but enough for 6 (or more).	ambience general	positive
This restaurant was way overhyped.	restaurant general	negative
My chow fun and chow see was really bland and oily.	food quality	negative
Okay-i don't mind the oily part (cause most are cooked that way) but it was way too bland.	food quality	negative
The scallion pancakes and fried dumplings were nothing out of the ordinary.	food quality	neutral
The service was the only thing good about this restaurant.	restaurant general	negative
The service was the only thing good about this restaurant.	service general	positive
It's boring on the inside, and our sushi was pretty below average... the tuna was soggy and the other rolls had no flavor.	ambience general	negative
It's boring on the inside, and our sushi was pretty below average... the tuna was soggy and the other rolls had no flavor.	food quality	negative
I definitely wouldn't go back.	restaurant general	negative
Their pad penang is delicious and everything else is fantastic.	food quality	positive
The price is reasonable although the service is poor.	restaurant prices	positive
The price is reasonable although the service is poor.	service general	negative
fresh restaurant was amazing........ food was delicious and of course fresh.	food quality	positive
fresh restaurant was amazing........ food was delicious and of course fresh.	restaurant general	positive
great for a romantic evening, or a fun evening with friends...	ambience general	positive
great for a romantic evening, or a fun evening with friends...	restaurant miscellaneous	positive
I will be going back very soon.	restaurant general	positive
keep up the good work.	restaurant general	positive
Hats off to the chef.	food quality	positive
It was wonderful.	restaurant general	positive
the salads are delicious, both refreshing and very spicy.	food quality	positive
We had Pam's special fried fish and it was amazing.	food quality	positive
too large for just two people but nothing was left.	food quality	positive
too large for just two people but nothing was left.	food style options	negative
Great vibe, lots of people.	ambience general	positive
My husbands was perfect, my was well done and dry.	food quality	negative
I didn't complain, I liked the atmosphere so much.	ambience general	positive
On a hot day it was fabulous to stop in and enjoy lunch.	restaurant general	positive
Ambience is so cute and quaint, good for business although we were there on vacation.	ambience general	positive
Ambience is so cute and quaint, good for business although we were there on vacation.	restaurant miscellaneous	positive
Salads were fantastic.	food quality	positive
Although we were looking for regular lettuce and some walnuts the salads we got were great.	food quality	positive
Ingredients are organic which is a real plus for me.	food quality	positive
We will be back.	restaurant general	positive
This is some really good, inexpensive sushi.	food prices	positive
This is some really good, inexpensive sushi.	food quality	positive
The spicy Tuna roll is huge and probably the best that I've had at this price range.	food prices	positive
The spicy Tuna roll is huge and probably the best that I've had at this price range.	food quality	positive
The spicy Tuna roll is huge and probably the best that I've had at this price range.	food style options	positive
The Yellowtail was particularly good as well.	food quality	positive
I have reservations about the all you can eat deal, however -- the choices are fairly limited and you can probably order more food than you can eat for less than $18 by just going off the menu.	food prices	negative
I have reservations about the all you can eat deal, however -- the choices are fairly limited and you can probably order more food than you can eat for less than $18 by just going off the menu.	food style options	negative
In any event, this is a place I'll be sure to stop by again when I'm in this part of town.	restaurant general	positive
Big Wong gets big Ups for a fine establishment.	restaurant general	positive
They have it all -- great price, food, and service.	food quality	positive
They have it all -- great price, food, and service.	restaurant general	positive
They have it all -- great price, food, and service.	restaurant prices	positive
They have it all -- great price, food, and service.	service general	positive
The atmosphere is noisy and the waiters are literally walking around doing things as fast as they can.	ambience general	negative
The atmosphere is noisy and the waiters are literally walking around doing things as fast as they can.	service general	positive
The food is prepared quickly and efficiently.	service general	positive
And it all comes at a very reasonable price (congee, noodles, and rice dishes are no more than $3-6 each).	food prices	positive
The takeout is great too since they give high quality tupperware as well.	service general	positive
This place is always very crowded and popular.	restaurant miscellaneous	positive
Enjoyed a very nice Caesar Salad while my wife had arugula and goat cheese....both very tasty.	food quality	positive
We both opted for a pasta dish and they were served timely and fresh.	food quality	positive
We both opted for a pasta dish and they were served timely and fresh.	service general	positive
We concluded with tiramisu chocolate cake, both were delicious.	food quality	positive
We'd go back again	restaurant general	positive
I recently went to this restaurant with some co-workers for lunch and had an amazing time.	restaurant general	positive
The staff was accomodating, the food was absolutely delicious and the place is lovely.	ambience general	positive
The staff was accomodating, the food was absolutely delicious and the place is lovely.	food quality	positive
The staff was accomodating, the food was absolutely delicious and the place is lovely.	service general	positive
We even had a visit from the Manager who wanted to make sure we were enjoying ourselves.	service general	positive
Yes, the prices are high, but I felt it was worth it.	restaurant general	positive
Yes, the prices are high, but I felt it was worth it.	restaurant prices	negative
We all felt it was worth it.	restaurant general	positive
sometimes i get good food and ok service.	food quality	positive
sometimes i get good food and ok service.	service general	neutral
sometimes i get bad food and bad service, sometimes i get good good and bad service.	food quality	positive
sometimes i get bad food and bad service, sometimes i get good good and bad service.	service general	negative
it is not consistent.	restaurant general	negative
The place is a BISTRO which means: simple dishes and wine served efficiently in a bustling atmosphere.	ambience general	positive
The place is a BISTRO which means: simple dishes and wine served efficiently in a bustling atmosphere.	drinks style options	positive
The place is a BISTRO which means: simple dishes and wine served efficiently in a bustling atmosphere.	food style options	positive
The place is a BISTRO which means: simple dishes and wine served efficiently in a bustling atmosphere.	service general	positive
And where does Patis go wrong; no where. 	restaurant general	positive
You are not eating haut cuisine with subtle hints of whatever but: Cassuolet, Steake Fritte, Tripe Stew, etc; simple stuff.	food quality	positive
You are not eating haut cuisine with subtle hints of whatever but: Cassuolet, Steake Fritte, Tripe Stew, etc; simple stuff.	food style options	positive
And evaluated on those terms Pastis is simply wonderful.	restaurant general	positive
Right off the L in Brooklyn this is a nice cozy place with good pizza.	ambience general	positive
Right off the L in Brooklyn this is a nice cozy place with good pizza.	food quality	positive
Mine was a little burnt but still delicious with goat cheese and panchetta (raddichio was kind of bitter though).	food quality	positive
My friend got the mushroom pizza which tasted better.	food quality	positive
The sangria was pretty tasty and good on a hot muggy day.	drinks quality	positive
Kind of a small place but I guess if they are not too busy might be able to fit a group or kids.	restaurant miscellaneous	neutral
Overall I would recommend it and go back again.	restaurant general	positive
I started out with a Bombay beer which was big enough for two.	drinks style options	positive
MMmmm... it was delicious.	food quality	positive
Service was slow, but the people were friendly.	service general	positive
It's a nice place to relax and have conversation.	ambience general	positive
I can't wait to go back.	restaurant general	positive
The food is authentic Italian - delicious!	food quality	positive
Pizza is terrific, as is homemade pasta.	food quality	positive
Ambience is delightful, service impeccable.	ambience general	positive
Ambience is delightful, service impeccable.	service general	positive
