sentence	aspect	polarity
i grew up eating dosa and have yet to find a place in ny to satisfy my taste buds.	misc	neutral
wine list selection is good and wine-by-the-glass was generously filled to the top.	food	positive
with the great variety on the menu , i eat here often and never get bored .	food	positive
the menu is very limited - i think we counted 4 or 5 entrees.	food	negative
if you are a carnivore, come hungry and you will leave more satisfied than you have ever been.	misc	positive
the menu is limited but almost all of the dishes are excellent.	food	conflict
not too crazy about their sake martini.	food	negative
great bagels, spreads and a good place to hang out in.	food	positive
great bagels, spreads and a good place to hang out in.	misc	positive
the service varies from day to day- sometimes they're very nice, and sometimes not.	service	conflict
whoever the jazz duo was, they were on point.	ambience	positive
one thing i liked about this place is that i never felt rushed or pressured to give up my table ot incoming guests.	service	positive
this place is a great bargain.	price	positive
we happened upon this place purely by accident and were pleased with the results.	misc	positive
unfortunately, the food is outstanding, but everything else about this restaurant is the pits.	food	positive
unfortunately, the food is outstanding, but everything else about this restaurant is the pits.	misc	negative
deff recommend bukhara they also have opened two new locations guess ill try them out.	misc	positive
we always have a delicious meal and always leave feeling satisfied.	food	positive
dip the ingredients in with your chopsticks, swirl them around, and eat.	food	neutral
first went here to enjoy their garden terrace.	ambience	positive
my husbands was perfect, my was well done and dry.	food	conflict
everyone i have spoken too there is super friendly, helpful, and willing to the extra mile for a customer.	service	positive
the pizza was pretty good and huge.	food	positive
sapphire is the only indian restaurant i go to when i'm in nyc.	misc	positive
the cuisine from what i've gathered is authentic taiwanese, though its very different from what i've been accustomed to in taipei.	food	neutral
i heartily recommend.	misc	positive
heartland brewery is by far one of the best places in nyc to make new friends and catch up with old ones.	misc	positive
i almost hesitate to write a review because the atmosphere was so great and i would hate for it too become to crowded.	ambience	positive
they are often crowded on the weekends but they are efficient and accurate with their service.	service	positive
they are often crowded on the weekends but they are efficient and accurate with their service.	ambience	negative
all my co-workers were amazed at how small the dish was.	food	negative
the atmosphere is unheralded, the service impeccable, and the food magnificent.	food	positive
the atmosphere is unheralded, the service impeccable, and the food magnificent.	service	positive
the atmosphere is unheralded, the service impeccable, and the food magnificent.	ambience	positive
we ordered the special, grilled branzino, that was so infused with bone, it was difficult to eat.	food	negative
the wait staff is friendly, and the food has gotten better and better!	food	positive
the wait staff is friendly, and the food has gotten better and better!	service	positive
this place, which is only a few months old, is perhaps queens' biggest secret!	misc	positive
it may be a bit packed on weekends, but the vibe is good and it is the best french food you will find in the area.	food	positive
it may be a bit packed on weekends, but the vibe is good and it is the best french food you will find in the area.	ambience	conflict
this place is so much fun.	misc	positive
i was glad i did.	misc	positive
right off the l in brooklyn this is a nice cozy place with good pizza.	food	positive
right off the l in brooklyn this is a nice cozy place with good pizza.	ambience	positive
i've never been treated so rudely.	service	negative
i'll be back soon.	misc	positive
le pere pinard has a $15 pre-theater menu that is outstanding.	food	positive
went inside and i started to get excited.	misc	positive
i also ordered for delivery and the restaurant forgot half the order.	service	negative
our server checked on us maybe twice during the entire meal.	service	negative
however, it is just too good to not praise it.	misc	positive
we have been to montparnasse many times and return often for good reason.	misc	positive
the strong scents coming from the left and right of me negatively affected my taste buds.	misc	negative
we had the lobster sandwich and it was fantastic.	food	positive
it's somewhere you can eat and be happy.	misc	positive
if you wrote a bad review, it's because you don't understand what rao's is all about.	misc	positive
had we been stalling i could understand where they were coming from, but we had been there less than an hour and they hadn't even brought us a check yet!	service	negative
but overall i give it a 10	misc	positive
though the spider roll may look like a challenge to eat, with soft shell crab hanging out of the roll, it is well worth the price you pay for them.	food	positive
though the spider roll may look like a challenge to eat, with soft shell crab hanging out of the roll, it is well worth the price you pay for them.	price	positive
deep fried skewers are good and still rare to find in nyc.	food	positive
i have tried to make reservations, but both times, the hostess didn't have my name.	service	negative
i also recommend the rice dishes or the different varieties of congee (rice porridge).	food	positive
their tuna tartar appetizer is to die for.	food	positive
this was one of the best restaurants i've ever been to.	misc	positive
this restaurant used to be pretty decent.	misc	negative
an oasis of refinement:  food, though somewhat uneven, often reaches the pinnacles of new american fine cuisine - chef's passion (and kitchen's precise execution) is most evident in the fish dishes and soups.	food	positive
if you love wine and cheese and delicious french fare, you'll love artisanal!	food	positive
i love indian food and consider myself to be quite an expert on it.	food	positive
some baby pizzas get their wish.	food	neutral
plenty of choices to make your own creation.	food	positive
it was tiny and i felt like i was eating in someone's living room.	ambience	negative
i was there on sat.	misc	neutral
overall a oh ya even though there is waiting it is deff worth it	misc	positive
overall a oh ya even though there is waiting it is deff worth it	service	negative
the lava cake dessert was incredible and i recommend it.	food	positive
vt is what baby pizzas hope to be when they grow up.	misc	positive
from the terrible service, to the bland food, not to mention the unaccommodating managers, the overall experience was horrible.	food	negative
from the terrible service, to the bland food, not to mention the unaccommodating managers, the overall experience was horrible.	service	negative
lahore is a great place to duck into late-night when you need some really tasty food on the cheap -- you'll likely have trouble finishing the amount of food you get for four dollars.	food	positive
lahore is a great place to duck into late-night when you need some really tasty food on the cheap -- you'll likely have trouble finishing the amount of food you get for four dollars.	price	positive
the last time i went we were seated at a table in a corridor next to the kitchen.	misc	negative
good selection of wines ranging from affordable to high end.	food	positive
good selection of wines ranging from affordable to high end.	price	conflict
nice restaurant overall, with classic upscale italian decor.	ambience	positive
not impressed with the food.	food	negative
the entire dining experience was wonderful!	misc	positive
the wine selection (by the glass and bottle) is wonderful and i always recommend that friends make a reservation if they're going to be in town.	food	positive
the wine selection (by the glass and bottle) is wonderful and i always recommend that friends make a reservation if they're going to be in town.	misc	positive
service is highly refined: our seating was delayed 35 minutes past our reservation and the maitre d' apologized and regularly kept us apprised of progress.	service	positive
order the panang duck, it's fantastic.	food	positive
food is usually very good, though occasionally i wondered about freshness of raw vegetables in side orders.	food	conflict
other than the crappy service from two individuals, it's great.	service	conflict
what more can you ask for?	misc	positive
wondering who had the best deals we noticed a line had formed to wait for this one particular establishment.	misc	neutral
they have authentic indian at amazing prices.	food	positive
they have authentic indian at amazing prices.	price	positive
you are treated just like royalty.	service	positive
there's nice and quiet, small but enough for 6 (or more).	ambience	conflict
ambiance relaxed and stylish.	ambience	positive
i've never felt more unwelcome than last month at jimmy's bronx cafe.	misc	negative
luckily we saved room for the bbq salmon, sea bass and crispy duck.	food	positive
yes, they use fancy ingredients, but even fancy ingredients don't make for good pizza unless someone knows how to get the crust right.	food	negative
looking from the outside in, one would hesitate to enter this hole in the wall (really, that's what it is).	ambience	negative
and yes dal bukhara is so dam good and so are all the kababs.	food	positive
i look forward to eating here again	misc	positive
i've been coming here as a child and always come back for the taste.	food	positive
tuk tuk is one of those comfortable neighborhood joints where you know you will always have a good meal at a fair price.	food	positive
tuk tuk is one of those comfortable neighborhood joints where you know you will always have a good meal at a fair price.	ambience	positive
tuk tuk is one of those comfortable neighborhood joints where you know you will always have a good meal at a fair price.	price	positive
a glass of leaping lizard, a glass of prosecco, and the mussels had everything happy.	food	positive
food was average and creme brulee was awful - the sugar was charred, not caramelized and smelled of kerosene.	food	negative
the food always tastes fresh and served promptly.	food	positive
the food always tastes fresh and served promptly.	service	positive
i know because i live nearby.	misc	neutral
the pizza here is delicious.	food	positive
my entire family was horrified.	misc	negative
on a monthly basis my friends and i get together and have a girls night out.	misc	neutral
pizza and garlic knots are great as well, i order from them quite often and the delivery is always super quick!	food	positive
pizza and garlic knots are great as well, i order from them quite often and the delivery is always super quick!	service	positive
for great chinese food nearby, you have wu liang ye and grand sichuan just a block away.	food	positive
but who says murray's is anything about service.	service	neutral
this place is really trendi but they have forgotten about the most important part of a  restaurant, the food.	food	negative
this place is really trendi but they have forgotten about the most important part of a  restaurant, the food.	misc	positive
i have never been disappointed in the red eye.	misc	positive
hats off to the chef.	food	positive
this should have been done in a back room - away from customers.	misc	negative
service could be improved but overall this is a place that understands the importance of little things (the heavy, black, antique-seeming teapot, for one) in the restaurant experience.	misc	positive
service could be improved but overall this is a place that understands the importance of little things (the heavy, black, antique-seeming teapot, for one) in the restaurant experience.	service	negative
glad you have the luxury to throw out paying customers.	misc	neutral
the pizza is delicious - they use fresh mozzarella instead of the cheap, frozen, shredded cheese common to most pizzaria's.	food	positive
its an excellent place to relax and the food is one of the best in the city of new york.	food	positive
its an excellent place to relax and the food is one of the best in the city of new york.	ambience	positive
service is friendly, and never had a problem walking in and getting a table.	service	positive
the atmosphere was crowded but it was a great bistro-type vibe.	ambience	conflict
check it out	misc	positive
first off, the waitress was completely unattentive the 2 times we saw her(odd in a restaurant with 6 tables) and got our order wrong.	service	negative
don't go.	misc	negative
the food was bland oily.	food	negative
but they do.	misc	neutral
what is even better, is that the prices are very affordable as well, and the food is really good.	food	positive
what is even better, is that the prices are very affordable as well, and the food is really good.	price	positive
the fish is fresh but the variety of fish is nothing out of ordinary.	food	conflict
look i don't know if the people who wrote the reviews have ever been to a decent place (please try some other places).	misc	neutral
suan has challenged this loyalty.	misc	neutral
our favorite meal is a pesto pizza, the house salad, and a good bottle of wine.	food	positive
and kruno, the beverage manager is the best bartender i have yet to come across.	service	positive
ambiance and music funky, which i enjoy.	ambience	positive
the food, drinks and service are clearly among the best in the city.	food	positive
the food, drinks and service are clearly among the best in the city.	service	positive
i went there in late afternoon for some bite size food and refreshment with my date.	misc	neutral
it's a really great deal, considering we got full off of four dollars.	price	positive
i understand the area and folks you need not come here for the romantic, alluring ambiance or the five star service featuring a sommelier and a complicated maze of captain and back waiters - you come for the authentic foods, the tastes, the experience.	food	positive
i understand the area and folks you need not come here for the romantic, alluring ambiance or the five star service featuring a sommelier and a complicated maze of captain and back waiters - you come for the authentic foods, the tastes, the experience.	ambience	positive
i understand the area and folks you need not come here for the romantic, alluring ambiance or the five star service featuring a sommelier and a complicated maze of captain and back waiters - you come for the authentic foods, the tastes, the experience.	service	positive
went with mommy (the only person who could afford taking me here).	misc	neutral
my friends and i were on vacation in ny and was referred to chance by a friend.	misc	neutral
last time i went here, the waitress didn't come back after taking our order.	service	negative
try the tandoori salmon!	food	positive
i am completely hooked on this place, it is ridiculous.	misc	positive
eating in, the atmosphere saves it, but at your desk, it's a very disappointing experience.	misc	negative
eating in, the atmosphere saves it, but at your desk, it's a very disappointing experience.	ambience	positive
granted the space is smaller than most, it is the best service you will find in even the largest of restaurants.	service	positive
granted the space is smaller than most, it is the best service you will find in even the largest of restaurants.	ambience	negative
have recommended the place to friends, always gets good response.	misc	positive
we will return many times for this oasis in mid-town.	misc	positive
i love the atmosphere @ peep!	ambience	positive
enjoy!	misc	positive
we weren't!	misc	neutral
this is one of my favorite restaurants and it is not to be missed.	misc	positive
(la rosa is connected by a swinging door to the mexican restaurant pacifico).	misc	neutral
it could have been handled better.	misc	negative
the service was attentive and her suggestions of menu items was right on the mark.	service	positive
the other night we had the $30 three course meal and everything was delicious - if i could of licked the plate clean i would of.	food	positive
please be aware that it's cash or amex only!	misc	neutral
even after getting pushed out by the no-class famous ray's, sal has risen again to carry on his father's uncle's legacies with a smile, true love for his community, and let's not forget the outstanding pizza!	food	positive
it's a rather cramped and busy restaurant and it closes early.	ambience	negative
the environment is romantic, but the food is horrible, the service is pathetic, and gabriella lies about everything she could.	food	negative
the environment is romantic, but the food is horrible, the service is pathetic, and gabriella lies about everything she could.	service	negative
the environment is romantic, but the food is horrible, the service is pathetic, and gabriella lies about everything she could.	ambience	positive
we had crawfish boiled and despite making a mess, it was a ton of fun and quite tasty as well.	food	positive
i had very high expectations for this place and made a reservation a couple of months in advance for a special occasion.	misc	neutral
they were served warm and had a soft fluffy interior.	food	positive
what came to our table was burned beyond recognition and stringy.	food	negative
i had the pad thai and the noodles were sticky.	food	negative
so i've never actually been to m proper, but i've had it delivered a few times.	misc	neutral
among all of the new 5th avenue restaurants, this offers by far one of the best values for your money.	price	positive
frankly, when you compare what you can have here for lunch, versus mcds or so many other sandwich shops in the city, there is no comparison.	food	positive
the hostess is rude to the point of being offensive.	service	negative
if you're craving for haru's great food, especially the house roll, but can't stand the wait building outside, head across the street to their sake bar!	food	positive
if you're craving for haru's great food, especially the house roll, but can't stand the wait building outside, head across the street to their sake bar!	service	negative
a narrow corridor leads to a tiny space where there are three tiny white tiled counters, a great deal of mess (stacks of bottles, cans) and a small counter holding 12-14 entrees.	ambience	negative
the food is great.	food	positive
succulent steaks cooked precisely to your desired "doneness" accompanied by salads and sides that don't look like leafy road kill.	food	positive
lunch came with pickles and slaw, no extra charge.	price	positive
decent wine at reasonable prices.	food	positive
decent wine at reasonable prices.	price	positive
all conveniently delivered right to the door.	service	positive
even the wine by the glass was good.	food	positive
nice family owned traditional restaurant.	misc	positive
would have rather tried terrace in the sky or water club for that price	misc	neutral
would have rather tried terrace in the sky or water club for that price	price	negative
this dish is my favorite and i always get it when i go there and never get tired of it.	food	positive
i also ordered the change mojito, which was out of this world.	food	positive
okay service.	service	neutral
the only thing more wonderful than the food (which is exceptional) is the service.	food	positive
the only thing more wonderful than the food (which is exceptional) is the service.	service	positive
we were very pleasantly surprised.	misc	positive
the food was just awful, atrocious actually.	food	negative
i will never visit this restaurant again.	misc	negative
the soup for the udon was soy sauce and water.	food	negative
the anti-pasta was excellent, especially the calamari, as were the filling pasta mains.	food	positive
the waitress suggested glasses of wine that went very well with the food.	food	positive
the waitress suggested glasses of wine that went very well with the food.	service	positive
(or sister, in my case!).	misc	neutral
i've eaten at many different indian restaurants.	misc	neutral
they might be all business at the counter when you give your order, but their food says i love you.	food	positive
they might be all business at the counter when you give your order, but their food says i love you.	service	negative
we are very particular about sushi and were both please with every choice which included: ceviche mix (special), crab dumplings, assorted sashimi, sushi and rolls, two types of sake, and the banana tempura.	food	positive
try their plain pizza with fresh garlic or eggplant.	food	positive
don't go there!	misc	negative
ok, so the servers wander around a little clueless, but there's more than enough servers for the crowd they get -- it's fine, you just have to make a small effort to get their attention.	service	conflict
good luck getting a table.	misc	negative
we picked it randomly, without a recommendation from someone who has been there, so we weren't sure what to expect.	misc	neutral
don't look down your nose at me like that.	misc	negative
planet thai is great!	misc	positive
the service is awful.	service	negative
just don't do it.	misc	negative
just ignore the trendy wannabes.	misc	negative
the takeout menu says to keep an eye out for an expanded menu offering more italian dishes, i can't wait!	food	positive
trust me, it will be great, and all of it will be devoured in no time.	food	positive
my girlfriends and i ate at o.g. again last night.	misc	neutral
i wish they had one near my office- i would go everyday.	misc	positive
finally!	misc	positive
amma has the worst value for money i have experienced in nyc over the past 2 years.	price	negative
i am not the most experienced person when it comes to thai food, but my friend who took me there is.	misc	neutral
i think this would be a pretty good spot if it were not so overpriced and overrated.	price	negative
regardless of whether there are two people or two hundred people ahead of you the hostess will take your name and tell you five minutes.	service	positive
the pizza is good though.	food	positive
bottles of wine are cheap and good.	price	positive
bottles of wine are cheap and good.	food	positive
you will not be disappointed at all.	misc	positive
walk-ins are risky too.	misc	negative
the have over 100 different beers to offer their guest so that made my husband very happy and the food was delicious, if i must recommend a dish it must be the pumpkin tortellini.	food	positive
they didn't give us the dinner special until we asked for it.	service	negative
you must have the crabmeat lasagna which is out of this world and the chocolate bread pudding for dessert.	food	positive
word of advice, save room for pasta dishes and never leave until you've had the tiramisu.	food	positive
very good service and very good prices.	service	positive
very good service and very good prices.	price	positive
i recently went to this restaurant with some co-workers for lunch and had an amazing time.	misc	positive
the service was impeccable and unobtrusive -- the staff knows what they are there to do -- to know their menu, present your meal, and attend to your needs.	service	positive
ess-a-bagel (either by sty-town or midtown) is by far the best bagel in ny.	food	positive
our food was great too!	food	positive
open late (well as late as i ever got there and i'm a night person)	misc	positive
the most annoying thing, though, is the fact that the servers seem to be trained to drive revenue.	service	negative
get your food to go, find a bench, and kick back with a plate of dumplings.	misc	positive
please try the filet mignon, its just the most tender piece ever.	food	positive
everything we had was pretty good, but we have only been there once.	food	positive
we were still sitting at the bar while we drank the sangria, but facing away from the bar when we turned back around, the $2 was gone the people next to us said the bartender took it.	misc	negative
something about them being busy with holiday party's.	misc	negative
the sake menu should not be overlooked!	food	positive
i would highly recommend.	misc	positive
this place is great.	misc	positive
the drinks are amazing and half off till 8pm.	food	positive
the drinks are amazing and half off till 8pm.	price	positive
i've been back to nha trang literally a hundred times for the beef cubes - they're that good.	food	positive
with so many poor experiences to be had in the theater district, is truly an excellent find!	misc	positive
this has got to be one of the most overrated restaurants in brooklyn.	misc	negative
the service, wine selection, ambiance are all outstanding and deserve recognition.	food	positive
the service, wine selection, ambiance are all outstanding and deserve recognition.	service	positive
the service, wine selection, ambiance are all outstanding and deserve recognition.	ambience	positive
went there last night for 2 year anniversary, and wasn't all that impressed.	misc	negative
it was rather pathetic that it took them over an hour to seat us.	service	negative
we were seated promptly as we had reservations, however after that the service was slow.	service	conflict
at first i was slightly skeptical because it was a sushi restaurant in the middle of nyc.	misc	neutral
it's really also the service, is good and the waiters are friendly.	service	positive
suan was a recommendation that i am glad we heeded.	misc	positive
the food was pretty good, but a little flavorless and the portions very small, including dessert.	food	conflict
we visit at least once a month.	misc	neutral
it is set far from the small street it's on, and there is no traffic noise.	ambience	positive
also, the place is popular with families, so if you're bothered by children running loose like wild animals, come later at night to avoid them.	ambience	neutral
i'll keep this short.	misc	neutral
i felt as though i were eating in paris.	ambience	positive
lived in shanghai most of my life and thought the food was comparable to the flagship green bo restaurant there.	misc	neutral
lived in shanghai most of my life and thought the food was comparable to the flagship green bo restaurant there.	food	positive
i highly recommend cafe st. bart's for their food, the ambience and wonderful service.	food	positive
i highly recommend cafe st. bart's for their food, the ambience and wonderful service.	service	positive
i highly recommend cafe st. bart's for their food, the ambience and wonderful service.	ambience	positive
however, it's not worth a special trip.	misc	negative
nice value.	price	positive
gigino's in wagner park is so enjoyable.	misc	positive
and it was quick which is very important.	service	positive
this is a nice restaurant if you are looking for a good place to host an intimate dinner meeting with business associates.	misc	positive
all the nyu students love this place so it makes for a fun young atmosphere.	ambience	positive
the food here does a great service to the name (cantonese that is.).	food	positive
but, nothing stands out about the cooking.	food	neutral
joya used to be a cool spot with decent food and a colorful - if not relaxed - atmosphere.	ambience	positive
joya used to be a cool spot with decent food and a colorful - if not relaxed - atmosphere.	food	positive
if that's a problem, go to mcdonald's and destroy your insides.	misc	negative
the prix fixe menu is worth every penny and you get more than enough (both in quantity and quality).	food	positive
the prix fixe menu is worth every penny and you get more than enough (both in quantity and quality).	price	positive
i've been here 3 times for lunch and it is one of my favorites in the city.	misc	positive
i had their eggs benedict for brunch, which were the worst in my entire life, i tried removing the hollandaise sauce completely that was how failed it was.	food	negative
i work near-by, and they have the best oatmeal in the neighborhood- not a packaged or quick-cooked item.	food	positive
always busy but fast moving.	ambience	conflict
too bad the food wasn't of the same heritage.	food	negative
the menu looked good, except for offering the chilean sea bass, but the server does not offer up the specials that were written on the board outside.	food	conflict
the menu looked good, except for offering the chilean sea bass, but the server does not offer up the specials that were written on the board outside.	service	negative
sexy.	misc	positive
the food was really good, i had the onion soup and it was one of the best ever.	food	positive
i will have to say, this bengali fast food joint is clearly my favorite.	misc	positive
i'm not picky - but it was actually gross.	food	negative
overall, a solid restaurant and at less than $40pp (including wine), a solid deal as well.	misc	positive
overall, a solid restaurant and at less than $40pp (including wine), a solid deal as well.	price	positive
since it literally is a complete hole in the wall, it's a bit intimidating at first, but you get over that very quickly as soon as the friendly staff welcomes you - don't hesitate to ask for help with what to get.	service	positive
since it literally is a complete hole in the wall, it's a bit intimidating at first, but you get over that very quickly as soon as the friendly staff welcomes you - don't hesitate to ask for help with what to get.	ambience	negative
based on the reviews for dinner, this is a place i would reconsider revisiting for that, but definitely not for dim sum again.	food	conflict
it costs $2 extra to turn a regular roll into an inside-out roll, but the roll more than triples in size, and that's not just from the rice.	food	neutral
it costs $2 extra to turn a regular roll into an inside-out roll, but the roll more than triples in size, and that's not just from the rice.	price	negative
even with john's and joe's around the corner, this place will make a name for itself.	misc	positive
it melted in my little mouth and the perfect consistency, not too fishy, creamy, and slightly buttery.	food	positive
when he finally did, he was unable to make a gin and tonic -- couldn't find tonic.	service	negative
my girlfriend convinced me to go in the other night for a quick bite.	misc	neutral
the dim sum is ok but doesn't taste that fresh, and the little dishes don't look steamy hot as they should (also note lack of chinese here).	food	negative
despite the untasteful previous review.	misc	neutral
don't judge this place prima facie, you have to try it to believe it, a home away from home for the literate heart.	misc	positive
sure, everyone's got their favorite, but to know sal, is to know new york.	misc	neutral
i think that it is absolutely brilliant and well-run business operation.	misc	positive
also they were $15 each!	price	negative
the service is ok, some of the people didn't get what they asked for.	service	conflict
my friends spoke so much about it for months, i finally made the time to come down ear and dine in.	misc	neutral
if you want good authentic thai this place is not the place to go.	food	negative
i recommend getting a reservation even though we saw people seated without one.	misc	neutral
the only thing i moderately enjoyed was their grilled chicken special with edamame puree.	food	neutral
this is as good as neighborhood restaurants come.	misc	neutral
if you want some roast duck, pork or chicken on rice with ginger, try them out!	food	positive
you order from a menu, so you leave feeling like you missed the full experience.	misc	negative
one of the more authentic shanghainese restaurants in the us definitely the best in manhattan chinatown.	misc	positive
we will go back every time we are in the city.	misc	positive
we love th pink pony.	misc	positive
so eat fast and order a lot.	misc	neutral
staff is very accommodating.	service	positive
i have to agree with the previous reviewer.	misc	neutral
--eat club is a roving group of nyc gluttons	misc	neutral
if you were there when it first opened, give this restaurant a second chance.	misc	positive
i went to del frisco's friday night with my boyfriend for an 8:00 reservation.	misc	neutral
if you like sakagura but you feel it's too much, you'd better try yokocho.	misc	neutral
yourself a favor and have dinner here and see if you don't agree with me.	misc	positive
definitely a great spot for a nice occasion or date.	misc	positive
you can't go wrong with this place.	misc	positive
very popular style izakaya (sake and small portion of sake friendly dishes ).	food	positive
hurley's is like cheers where everyone knows your name and they are actually glad you came.	service	positive
not pretentious and very economical.	ambience	positive
not pretentious and very economical.	price	positive
the food was terrific and the service classy, attentive, without being overbearing.	food	positive
the food was terrific and the service classy, attentive, without being overbearing.	service	positive
this is an amazing place to try some roti rolls.	food	positive
fresh ingredients and everything is made to order.	food	positive
we have never had any problems with charging the meal or the tip, and the food was delivered quickly, but we live only a few minutes walk from them.	service	positive
quick and friendly service.	service	positive
authentic bistro!	misc	positive
they are tasty, but i suggest only eating one with meat because they tend not to mesh that well with the average american digestive system.	food	conflict
somewhat pricey but what the heck.	price	negative
it's true, this place is not cheap.	price	negative
